CHEMBA DISTRICT COUNCIL ,,,,,,,,
TARAFA,NO,KATA,NO,KIJIJI,NO,VITONGOJI,NO ,Health facility 
GOIMA,1,Goima,1,Goima,1,Magandi,1,goima Dispensary
,,,,,2,Kiale,,
,,,,,3,Kakiri,,
,,,,,4,Mongimo,,
,,,,,5,Swai/Dinda,,
,,,,,6,Deamo,,
,,,,,7,Daraba,,
,,,,Makamaka,8,Mseneka,,
,,,,,9,Bwawani,,
,,,,,10,Mbuyuni,,
,,,,,11,Pampayi,,
,,,2,Mirambo,12,Kongo,,
,,,,,13,Songea,,
,,,,,14,Masange ,,
,,,,,15,Kondimo,,
,,,,,16,Ijari,,
,,,3,Igunga,17,Aimabu,,Igunga dispensary
,,,,,18,Usilwu,,
,,,,,19,Isimabu,,
,,,,,20,Isusumya,,
,,,,,21,Lugugu,,
,,,4,Jenjeluse,22,Mjini,,
,,,,,23,Uganda,,
,,,,,24,Chekereni,,
,,,,,24,Chengere,,
,,,,,26,Bamai,,
,2,Songolo,6,Songolo,27,Chang'ombe,,Hamai  HC
,,,,,28,Chamburika,,
,,,,,29,Kindo,,
,,,7,Madaha,30,Madaha,,
,,,,,31,Malaria,,
,,,,,32,Kwaduria,,
,,,8,Hamai,33,Uganda,,
,,,,,34,Zambia,,
,,,,,35,Chang'ombe,,
,,,,,36,China,,
,,,9,Chioli,37,Chioli,,
,,,,,38,Manyata,,
,,,,,39,Radio One,,
,,,,,40,Kinanda,,
,3,Chandama,10,Chandama,41,Madukani A,,Chandama
,,,,,42,Madukani B,,
,,,,,43,Lusangi,,
,,,,,44,Gala,,
,,,,,45,Chang'ombe,,
,,,11,Mpendo,46,Isusumya,,
,,,,,47,Bandari basi,,
,,,,,48,Bondeni kwa Lesi,,
,,,,,49,Nkababa,,
,,,,,50,Kibaigwa,,
,,,12,Mapango,51,Madukani,,
,,,,,52,Kivukoni,,
,,,,,53,Marangu,,
,,,,,54,Msumbiji,,
,,,,,55,Kwa Kimuru,,
,,,,,56,Kwa Kimuri,,
,,,,,57,Kisonkera,,
,4,Soya,13,soya,58,Madukani,,Soya 
,,,,,59,Miembeni,,
,,,,,60,Kwalupinde,,
,,,,,61,Uzunguni,,
,,,14,Chang'ombe,62,Chang'ombe,,
,,,,,63,Majengo,,
,,,,,64,Lusangi,,
,,,,,65,Ukanyi,,
,,,,,66,Migungani juu,,
,,,15,Magandi,67,Magandi A,,
,,,,,68,Magandi B,,
