Facility Number,Facility Name,Region,District,Council,Facility Type
11331007,2001 GEM PLUS,Mwanza,Nyamagana,Nyamagana MC,Health Labs - Level IA2 (Dispensary Laboratory)
10854809,23kj,Kagera,Biharamulo,Biharamulo DC,Dispensary
11096707,24kj,Kigoma,Kigoma,Kigoma Ujiji MC,Dispensary
11182409,361 KJ,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
10001909,511KJ Gongo la Mboto,Dar es Salaam,Ilala,Ilala MC,Dispensary
10002007,512KJ,Mwanza,Nyamagana,Nyamagana MC,Dispensary
10002105,514KJ,Njombe,Njombe,Makambako TC,Dispensary
10054200,821KJ,Kigoma,Kigoma,Kigoma DC,Dispensary
11084104,909 Dental Centre,Dar es Salaam,Ilala,Ilala MC,Clinic - Dental Clinic
10002409,A and A,Mbeya,Mbarali,Mbarali DC,Dispensary
11318004,A1 Eye Solutions,Dar es Salaam,Ubungo,Ubungo MC,Clinic - Optometry Clinic
11232800,A2Z poly,Kilimanjaro,Moshi,Moshi MC,Clinic
10002506,AA&B,Dar es Salaam,Ilala,Ilala MC,Clinic - Diagnostic Centre
10002908,AAR,Arusha,Arusha,Arusha CC,Clinic - Polyclinic
10003006,AAR,Dar es Salaam,Ilala,Ilala MC,Clinic - Polyclinic
11096805,AAR,Mwanza,Nyamagana,Nyamagana MC,Clinic - Polyclinic
11084408,AAR,Dar es Salaam,Temeke,Temeke MC,Clinic - Polyclinic
10003104,AAR ChATO,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
10868108,AAR Health care Wazo,Dar es Salaam,Kinondoni,Kinondoni MC,Clinic - Polyclinic
10957404,AAR KIA,Kilimanjaro,Hai,Hai DC,Dispensary
11143808,AAR Tabata,Dar es Salaam,Ilala,Ilala MC,Clinic - Polyclinic
10210309,AB,Dar es Salaam,Kinondoni,Kinondoni MC,Hospital - Hospital at District Level
10982804,Abbas Medical Centre,Dar es Salaam,Ilala,Ilala MC,Dispensary
11249302,Abbys,Katavi,Mpanda,Mpanda MC,Health Center
11232702,Abduelrazaq Mohamed Saleh,Kigoma,Kigoma,Kigoma Ujiji MC,Dispensary
11451902,Abems,Morogoro,Morogoro,Morogoro MC,Dispensary
11378001,Abiga,Mwanza,Misungwi,Misungwi DC,Maternity Home
11324809,ABM,Dar es Salaam,Ubungo,Ubungo MC,Health Labs - Level IA2 (Dispensary Laboratory)
11270206,Access Medical & Diagnostic,Dar es Salaam,Ilala,Ilala MC,Clinic - Other Clinic
11077906,Access Medical and Dialysis Centre,Dar es Salaam,Kinondoni,Kinondoni MC,Clinic - Other Clinic
11162902,ACDK,Manyara,Kiteto,Kiteto DC,Dispensary
11399701,Aclane,Morogoro,Kilombero,Mlimba DC,Dispensary
11299506,Adefa Optical Centre,Mtwara,Mtwara,Mtwara MC,Clinic - Optometry Clinic
11444902,Aden,Tabora,Tabora,Tabora MC,Health Labs - Level IA2 (Dispensary Laboratory)
11317808,Adon,Shinyanga,Kahama,Kahama TC,Health Labs - Level IA2 (Dispensary Laboratory)
11309504,Adonai,Ruvuma,Nyasa,Nyasa DC,Health Labs - Level IA2 (Dispensary Laboratory)
11408201,Adonai,Mwanza,Ilemela,Ilemela MC,Dispensary
11478108,Adoniram,Kagera,Ngara,Ngara DC,Clinic - Dental Clinic
11190203,Adricardo,Dar es Salaam,Ilala,Ilala MC,Clinic - Specialized Polyclinic
11200808,Advert,Katavi,Mpanda,Mpanda MC,Health Labs - Level IA2 (Dispensary Laboratory)
11242602,Aeromeda,Dar es Salaam,Ilala,Ilala MC,Clinic - Specialized Polyclinic
11099508,Afana Eye Care,Mbeya,Mbeya,Mbeya CC,Clinic - Optometry Clinic
11320304,Afrann,Tabora,Nzega,Nzega DC,Health Labs - Level IA2 (Dispensary Laboratory)
11431809,Afri Salasala,Dar es Salaam,Kinondoni,Kinondoni MC,Health Labs - Level IA2 (Dispensary Laboratory)
10528208,Africa Amini Momella,Arusha,Arumeru,Meru DC,Health Center
10003408,Africa Sana Dental,Dar es Salaam,Kinondoni,Kinondoni MC,Clinic - Dental Clinic
11209603,Africana Eye Centre,Dar es Salaam,Temeke,Temeke MC,Clinic - Optometry Clinic
